Participant ID,Trial,Total Pot,Individual Offer,Opponent Offer,Model Decision,Utility,Accept Probability,Expected Proportion
1010,1,9,4.5,4.5,Accept,4.5,0.99,0.5
1010,3,15,5.25,9.75,Accept,3.23,0.96,0.5
1010,4,9,2.25,6.75,Accept,0.59,0.64,0.46
1010,7,6,1.2,4.8,Reject,0.16,0.54,0.39
1010,9,9,3.6,5.4,Accept,3.45,0.97,0.34
1010,10,15,3.0,12.0,Accept,0.91,0.71,0.35
1010,11,18,9.0,9.0,Accept,8.14,1.0,0.31
1010,12,9,2.25,6.75,Accept,1.31,0.79,0.37
1010,14,9,2.7,6.3,Accept,2.45,0.92,0.33
1010,15,9,2.7,6.3,Accept,2.52,0.93,0.32
1010,16,9,1.8,7.2,Accept,0.87,0.7,0.32
1010,17,9,1.8,7.2,Reject,1.15,0.76,0.28
1010,18,15,5.25,9.75,Accept,4.9,0.99,0.26
1010,19,18,4.5,13.5,Accept,3.94,0.98,0.28
1010,20,15,1.5,13.5,Reject,-0.85,0.3,0.27
1010,22,18,5.4,12.6,Accept,5.05,0.99,0.22
1010,23,9,2.7,6.3,Accept,2.58,0.93,0.25
1010,24,15,3.75,11.25,Accept,3.59,0.97,0.26
1010,26,9,3.6,5.4,Accept,3.28,0.96,0.26
1010,27,12,3.0,9.0,Accept,2.45,0.92,0.3
1010,29,9,4.5,4.5,Accept,4.02,0.98,0.29
1010,31,12,2.4,9.6,Reject,0.78,0.69,0.35
1010,34,12,4.2,7.8,Accept,4.06,0.98,0.3
1010,35,12,4.8,7.2,Accept,4.56,0.99,0.32
1010,36,12,4.2,7.8,Accept,4.18,0.98,0.34
1010,37,12,1.2,10.8,Reject,-1.45,0.19,0.35
1010,39,9,2.7,6.3,Accept,2.64,0.93,0.27
1010,40,15,3.75,11.25,Accept,3.34,0.97,0.28
1010,41,15,1.5,13.5,Accept,-0.81,0.31,0.27
1010,42,15,6.0,9.0,Accept,5.32,1.0,0.22
1010,43,6,2.4,3.6,Accept,2.21,0.9,0.27
1010,45,15,3.0,12.0,Accept,1.49,0.82,0.31
1010,46,15,5.25,9.75,Accept,4.98,0.99,0.28
1010,48,6,1.8,4.2,Accept,1.8,0.86,0.3
1010,49,15,6.0,9.0,Accept,5.62,1.0,0.3
1010,51,15,5.25,9.75,Accept,5.17,0.99,0.33
1011,2,6,1.2,4.8,Accept,-0.42,0.4,0.5
1011,5,12,4.2,7.8,Accept,3.55,0.97,0.41
1011,6,6,2.4,3.6,Accept,2.39,0.92,0.39
1011,7,9,2.25,6.75,Accept,1.08,0.75,0.39
1011,9,9,2.7,6.3,Accept,2.29,0.91,0.35
1011,10,15,1.5,13.5,Reject,-1.68,0.16,0.34
1011,11,15,3.0,12.0,Accept,2.12,0.89,0.27
1011,12,12,3.0,9.0,Accept,2.99,0.95,0.25
1011,13,12,1.2,10.8,Accept,-0.39,0.4,0.25
1011,14,9,2.25,6.75,Accept,2.14,0.9,0.2
1011,15,9,1.8,7.2,Accept,1.66,0.84,0.22
1011,16,9,2.7,6.3,Accept,2.5,0.92,0.21
